STATE,Uninsured,% High school graduate,High School rank,% Bachelor's degree,Bachelor's rank,% Advanced degree,GDP per Capita,Debt LOW,Debt High,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama ,12.1,85.30%,45,24.50%,45,9.10%,"73,478",1.33,1.41,2014,4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141
Alaska ,17.2,92.40%,5,29.00%,28,10.40%,"38,559",1.62,1.75,2014,736732,4684,41,555,771,629,3243,20334,3150,15445,1739
Arizona ,13.6,86.50%,39,28.40%,32,10.70%,"34,965",1.75,1.89,2014,6731484,26916,319,2464,3378,6249,16970,215240,43562,154091,17587
Arkansas ,11.8,85.60%,44,22.00%,49,7.90%,"52,974",1.24,1.33,2014,2966369,14243,165,1182,1763,2050,10265,99018,24790,68627,5601
California ,12.4,82.50%,51,32.60%,15,12.20%,"49,639",1.62,1.75,2014,38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852
Colorado ,10.3,91.10%,14,39.40%,3,14.60%,"63,502",1.75,1.89,2014,5355866,16554,151,2121,3039,3039,10325,135510,23472,99464,12574
Connecticut ,6.9,90.20%,22,38.40%,5,17.00%,"62,174",1.33,1.41,2014,3596677,8522,86,571,782,3159,4495,69070,11955,51005,6110
Delaware ,7.8,89.30%,27,31.00%,20,12.90%,"163,274",1.51,1.62,2014,935614,4576,54,249,386,1269,2867,27900,5768,20865,1267
District of Columbia ,5.3,90.30%,18,56.60%,1,32.80%,"37,705",0.39,1.09,2014,658893,8199,105,352,472,3497,4125,34147,3466,26898,3783
Florida ,16.6,87.60%,33,28.50%,31,10.30%,"42,191",1.62,1.75,2014,19893297,107521,1149,6051,8563,24914,72895,679446,143220,493647,42579
Georgia ,15.8,86.30%,40,29.90%,25,11.40%,"49,513",1.41,1.51,2014,10097343,38097,580,2159,3048,12417,22052,331316,76428,228034,26854
